Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Exercise_Needs,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential
Basenji,4.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,4.0,5.0
Basset Hound,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,5.0
Beagle,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,1.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,4.0,5.0
Bearded Collie,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0
Bedlington Terrier,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
Belgian Malinois,3.0,4.0,5.0,3.0,4.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0
Belgian Sheepdog,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,1.0,3.0,4.0,3.0,4.0
Belgian Tervuren,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,5.0,1.0,4.0,3.0,4.0
Berger Picard,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0
Bernedoodle,3.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0
Bernese Mountain Dog,2.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,5.0,1.0,3.0
Bichon Frise,4.0,5.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0
Black Mouth Cur,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0
Black Russian Terrier,3.0,4.0,5.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0
Black and Tan Coonhound,3.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0
Bloodhound,3.0,5.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0
Blue Lacy,3.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0
Bluetick Coonhound,3.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0
Boerboel,2.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0
Bolognese,3.0,5.0,3.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0
Border Collie,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,3.0
Border Terrier,3.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0
Borzoi,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0
Boston Terrier,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0
Bouvier des Flandres,3.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0
Boxer,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0
Boykin Spaniel,3.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
Bracco Italiano,3.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
Briard,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0
Brittany,3.0,5.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0
Brussels Griffon,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,5.0
Bull Terrier,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0
Bulldog,3.0,4.0,3.0,4.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0
Bullmastiff,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0
Cairn Terrier,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0
Canaan Dog,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0
Cane Corso,2.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0
Cardigan Welsh Corgi,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0
Catahoula Leopard Dog,2.0,3.0,4.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,2.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0
Caucasian Shepherd Dog,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,2.0
Cavalier King Charles Spaniel,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0
Cesky Terrier,4.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
Chesapeake Bay Retriever,3.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0
Chihuahua,3.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0
Chinese Crested,3.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,3.0,1.0
Chinese Shar-Pei,3.0,2.0,2.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,2.0
Chinook,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0
Chow Chow,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,2.0
Clumber Spaniel,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,5.0,2.0,4.0
Cockapoo,4.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0
Cocker Spaniel,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,4.0,3.0,4.0
Collie,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,1.0
Coton de Tulear,4.0,5.0,3.0,2.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0
Curly-Coated Retriever,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Dachshund,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,3.0,1.0,3.0,5.0
Dalmatian,3.0,4.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0
Dandie Dinmont Terrier,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0
Doberman Pinscher,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,5.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,2.0
Dogo Argentino,2.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0
Dogue de Bordeaux,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0
Dutch Shepherd,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0
English Cocker Spaniel,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0
English Foxhound,3.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0
English Setter,3.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0
English Springer Spaniel,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0
English Toy Spaniel,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0
Entlebucher Mountain Dog,3.0,4.0,5.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0
Field Spaniel,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0
Finnish Lapphund,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0
Finnish Spitz,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,3.0,4.0
Flat-Coated Retriever,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0
Fox Terrier,3.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
French Bulldog,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0
German Pinscher,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
German Shepherd Dog,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,2.0
German Shorthaired Pointer,2.0,4.0,5.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,4.0,5.0
German Wirehaired Pointer,3.0,3.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0
Giant Schnauzer,2.0,3.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0
Glen of Imaal Terrier,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0
